"Identifier"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Synonym"	"GSD_type"	"Sex_chromosome_karyotype"	"Size_difference"	"Larger_chromosome"	"Size_note"	"GSD_note"	"GSD_reference"	"TSD_type"	"TSD_type_detailed"	"Low_temperature_sex"	"Low_temperature_threshold"	"Intermediate_temperature_sex"	"High_temperature_sex"	"High_temperature_threshold"	"Thermal_sex_reversal_proven"	"TSD_note"	"TSD_reference"	"Sex_reversal_in_nature"	"Sex_reversal_reference"	"Polyploid"	"Polyploid_reference"	"Other_note"	"GSD_info_curated_by"	"TSD_info_curated_by"	"Taxonomy_reference"
"hsdA1.1"	"Amphibia"	"Anura"	"Alsodidae"	"Eupsophus"	"Eupsophus insularis"		"XX/XY"	"identified"					"[55]"																"Tree of Sex database"		"[5]"
"hsdA1.2"	"Amphibia"	"Anura"	"Alsodidae"	"Eupsophus"	"Eupsophus migueli"		"XX/XY"	"identified"	"no"				"[117], [153], [326]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.3"	"Amphibia"	"Anura"	"Alsodidae"	"Eupsophus"	"Eupsophus roseus"		"XX/XY"	"identified"					"[387]"															"The existence of a separate species, Eupsophus queulensis was suggested by Veloso et al (2005) The Herpetological Journal, 15(3), pp.159-165."	"VB"		"[5]"
"hsdA1.4"	"Amphibia"	"Anura"	"Alytidae"	"Discoglossus"	"Discoglossus pictus"		"ZW/ZZ"	"identified"				"not all populations are heteromorphic"	"[238]"															"supernumerary (B) chromosomes occur (Green & Sessions 1991 Amphibian Cytogenetics and Evolution: page 335)"	"Tree of Sex database"		"[5]"
"hsdA1.5"	"Amphibia"	"Anura"	"Bombinatoridae"	"Bombina"	"Bombina orientalis"		"XX/XY"	"homomorphic"					"[164]"																"Tree of Sex database"		"[5]"
"hsdA1.6"	"Amphibia"	"Anura"	"Bombinatoridae"	"Bombina"	"Bombina variegata"		"XX/XY"	"homomorphic"					"[255]"																"EN"		"[5]"
"hsdA1.7"	"Amphibia"	"Anura"	"Bufonidae"	"Bufo"	"Bufo bufo"	"Bufo vulgaris"	"ZW/ZZ"	"homomorphic"				"At least one of four sex-linked loci maps to chromosome 5."	"[248], [288], [335]"					"even"	"even"			"Even sex ratios at 19, 28 and 30 degrees Celsius. For an explanation on apparent contradiction with earlier published data see Nemeshazi & Bokony (2022) https://doi.org/10.1002/bies.202200039"	"[246], [384]"	"ZW male"	"[248]"				"EN, Tree of Sex database"	"EN, VB"	"[5]"
"hsdA1.8"	"Amphibia"	"Anura"	"Bufonidae"	"Bufo"	"Bufo gargarizans"		"ZW/ZZ"	"homomorphic"					"[399]"																"Tree of Sex database"		"[5]"
"hsdA1.9"	"Amphibia"	"Anura"	"Bufonidae"	"Bufo"	"Bufo spinosus"		"XX/XY"	"identified"					"[361]"																"EN"		"[5]"
"hsdA1.10"	"Amphibia"	"Anura"	"Bufonidae"	"Bufo"	"Bufo spinosus x Bufo bufo hybrid?"									"FM ?"	"F?-M"	"female?"	"10"	"even"	"male"	"25"		"High mortality at both low (10) and high (25 degrees Celsius) temperature. Species identity is uncertain (see Nemeshazi & Bokony 2022 https://doi.org/10.1002/bies.202200039)."	"[246], [285]"					"Species identity is uncertain: published as Bufo vulgaris, but recently hypothesised that B. spinosus and B. bufo hybrids could be used (see Nemesházi & Bokony 2022 https://doi.org/10.1002/bies.202200039)."		"EN, VB"	"[5]"
